WORD	PLURAL	class	TRANSLATION	DEFINITION
menstrual cycle		Noun	月經週期	Monthly cycle preparing uterus for pregnancy (avg. 28 days).
fertilization		Noun	受精	Fusion of sperm and egg nuclei to form a diploid zygote.
zygote	Zygotes	Noun	受精卵	First diploid cell formed after fertilization.
embryo	Embryos	Noun	胚胎	Developing organism from zygote to 8 weeks (humans).
placenta	Placentas	Noun	胎盤	Organ nourishing fetus via umbilical cord; exchanges nutrients/wastes.
gestation		Noun	妊娠	Pregnancy period (∼40 weeks in humans).
asexual reproduction		Noun	無性生殖	Reproduction without gametes (e.g., budding, binary fission).
sexual reproduction		Noun	有性生殖	Reproduction involving fusion of male and female gametes.
menstruation		Noun	月經	Shedding of uterine lining if fertilization does not occur.
germination		Noun	萌發	Process where a seed develops into a new plant.
lenticel	lenticels	Noun	皮孔	Small openings on stems allowing gas exchange in woody plants.
guard cell	guard cells	Noun	保衛細胞	Cells surrounding stomata that regulate their opening/closing.
transpiration		Noun	蒸騰作用	Loss of water vapor from plant leaves, creating a transpiration pull.
spongy mesophyll		Noun	海綿組織	Leaf tissue with air spaces for gas diffusion in photosynthesis.
air sac	Air sacs	Noun	肺泡	Tiny cavities in lungs where O₂ and CO₂ exchange occurs.
diaphragm	diaphragms	Noun	橫膈膜	Dome-shaped muscle below lungs controlling inhalation/exhalation.
trachea	tracheae	Noun	氣管	Windpipe carrying air to bronchi; lined with cilia and mucus.
hemoglobin		Noun	血紅蛋白	Iron-containing protein in RBCs that binds O₂ for transport.
ventilation		Noun	通氣	Mechanical process of breathing (inspiration + expiration).
villus	villi	Noun	絨毛	Finger-like projections in small intestine increasing absorption area.
peristalsis		Noun	蠕動	Wave-like muscle contractions moving food through the digestive tract.
bile		Noun	膽汁	Liver secretion emulsifying fats for lipase action (stored in gallbladder).
xylem		Noun	木質部	Vascular tissue transporting water/minerals from roots to leaves.
phloem		Noun	韌皮部	Vascular tissue transporting sugars (e.g., sucrose) from leaves to other parts.
nitrate	nitrates	Noun	硝酸鹽	Mineral ion absorbed by roots for amino acid/protein synthesis.
root hair	root hairs	Noun	根毛	Microscopic extensions of root epidermis increasing absorption surface area.
assimilation		Noun	同化作用	Incorporation of absorbed nutrients into body tissues.
ChrisSch		Easter Egg	This man is a princess.	A horrifyingly talented programmer who is obsessed with the Disney cartoon series Sofia the First.
Vivien		Easter Egg	No comments.	An ICT teacher and a serial kidnapper of Usagi plushies.
Tommy Ma		Easter Egg	This guy has cholera.	A bad to the bone class mathematician and the unfortunate parent of an Usagi plushie.
Jerry		Easter Egg	This guy doesn't like going outside.	A semi-solid specimen who LOATHES eating out for lunch.
